Name,Address,Website,Contact,JDVerified
 Universal Academy Dehradun,"Lane No C 22, Turner Road, Dehradun City, Dehradun - 248001",http://www.universalacademydehradun.edu.in,+919152823051,Verified
 Carman Residential  Day School,"Thakurpur Road, Dehradun City, Dehradun - 248001, 2 Km From Prem Nagar",http://www.carmanschool.net,+919152783937,Verified
 Ecole Globale International Girls School,"Village Horawalla, Dehradun City, Dehradun - 248001",http://www.ecoleglobale.com,+919152760014,Verified
 Explorers Play School And Day Care,"76/22, Lane 1, Saket, Rajpur Road, Dehradun City, Dehradun - 248001, Near Silver City Cinema",http://www.explorers-india.in,+919152493296,Verified
 Charmwood International School,"04 LAXMI ROAD, Ec Road DALANWALA, Dehradun City, Dehradun - 248001, Near BSNL OFFICE",http://www.charmwoodschool.com/,+919152540436,Verified
 DOON Cambridge School,"Race Course, Race Course Road  Near Police Line, Dehradun City, Dehradun - 248001, 2nd Branch Also In Haridwar E40/41 INDUSTRIAL AREA",http://www.dooncambridge.school,+919152684172,Verified
 KIDZEE RACE  COURSE,"290/219 Shri Guru Gobind Singh Chowk( Suri Chowk), Dehradun City, Dehradun - 248001",http://www.kidzee.com,+919152639679,Verified
 Kiddyland School,"Shakti Vihar, Adhoiwala, Sahastradhara Road, Dehradun City, Dehradun - 248001, Near Sahastradhara Crossing",None,+919152198941,Verified
 Subhash Chandra Bose Academy,"Vill & P.O Nathuwawala, raipur  gullarghati road, Nathuwala, Dehradun - 248008",http://www.subhashchandraboseacademy.edu.in,+919152595801,Verified
 Infinite Dimensions- The Ved School,"75/6, Rajpur Road, Dehradun - 248001, Behind Raj Plaza Complex",http://www.indimindia.com,+919152946512,Verified
 Shivalik Academy,"Rajawala Road, Selaqui, Dehradun - 248011",None,+919152909597,Verified
 The Pestle Weed School,"Oak Hill Estate, Mussoorie Diversion Road, Dehradun City, Dehradun - 248001, Main Mussoorie Road",http://www.thepestleweedschool.com,+919152733670,Verified
 Quantum University,"Transport Nagar, Dehradun City, Dehradun - 248001, Doon Business Park",None,+919152893086,Verified
 Tula's International School,"Dhulkot, Selaqui, Dehradun - 248011,",http://www.tulasinternational.edu.in,13526993331352699444,Not Verified
 Doon Defence Academy,"29, Subhash Road, Karanpur, Dehradun - 248001, Behind Lord Venkateshwar Wedding Point",http://www.doondefenceacademy.com,+919897030757+917060016868,Not Verified
 Doon International School,"32, Curzon Rd Dalanwala, Dalanwala, Dehradun - 248001",http://disdehradun.com/,13526560881352658491,Not Verified
 The Doon School,"The Mall Road, Dehradun - 248001",http://www.doonschool.com,13525264001352526406,Not Verified
 St Josephs Academy,"Rajpur Rd, Dehradun Cantt, Dehradun - 248003",http://www.stjosephacademy.in,13527120711352712426,Not Verified
 The Asian School,"Asian Acres Vasant Vihar, Indira Nagar, Indira Nagar, Dehradun City, Dehradun - 248001",http://www.theasianschool.net,+918859500084,Not Verified
 Army Public School,"Clement Town, Dehradun - 248002, Near Kala Ground",http://www.apsclementtown.org,1352643584,Not Verified
 Shivalik Academy,"Rajawala Road, Selaqui, Dehradun - 248011",None,+919152909597,Verified
 Brightlands School,"1, Dick Road, Dehradun City, Dehradun - 248001, Near Dalanwala",http://www.brightlandschool.co.in,1352656157,Not Verified
 Kendriya Vidyalaya,"ONGC Kaulagarh Road, Adjacent to PNB, Hathibarkala Salwala, Dehradun - 248001, Dehradun - 248195.",http://www.kvongcddn.net,1352754378,Not Verified
 Doon Global School,"Chakrata Road, 14th Mile Stone, Jhajra, Dehradun - 248007",http://www.doonglobalschool.net,+919761696169+919760018579,Not Verified
 St Patricks Academy,"Lane No 9, Post Office Road, Clement Town, Dehradun - 248002",http://www.stpatricksdehradun.com,13526436001352643500,Not Verified
 Kendriya Vidyalaya,"Itbp Seemadwar, Seemadwar, Dehradun - 248146, Dehradun - 248146",None,1352762876,Not Verified
 Apollo International School,"Sahastrdhara Road, Dehradun - 248001",http://www.apollointernationalschool.com,1352788451,Not Verified
 Shri Guru Ram RAI Public School,"Karanpur, Dehradun - 248001, Bombay Bagh,Pathri Bagh",None,1352721252,Not Verified
 VantageHall Girls Residential School,"The Yellow Bricks Road, Doonga, Prem Nagar, Dehradun - 248007",http://www.vantagehall.org,13560033341352776225,Not Verified
 Doon Girls School,"4, Circular Road, Dalanwala, Dehradun - 248001, Dalanwala",http://www.thedoongirlsschool.com,13527101611352652429,Not Verified
 Mount Litera Zee School,"9a, Shimla By Pass Road, Dehradun City, Dehradun - 248001, Rishi Vihar, Mehuwala",http://www.mountliteradoon.com,1352640601+917351260009,Not Verified
 Lovedale Academy,"Turner Road, Clement Town, Dehradun Uttranchal, Dehradun - 248001",None,1352640261,Not Verified
 Dehra Public Inter College,"Chandchak, Banjarewala Mafi, Banjarawala, Dehradun - 248001",http://dehrapublicschool.in/,+919410354911,Not Verified
 D A V Inter College,"Karanpur, Karanpur, Dehradun Uttranchal, Dehradun - 248001, Karanpur",http://www.davintercollegekaranpur.in,1352744320,Not Verified
 Vantage Hall Girls Residential School,"The Yellow Brick Road, Dehradun - 248001, Doonga, Near",http://www.vantagehall.org,13560033341356003335,Not Verified
 Dronas International School,"Dalanwala, Dehradun - 248001",http://dronas.edu.in/,+919598420925,Not Verified
 The Neo Sir Macmillan Institute Learn English Language,"9, Chukkuwala, Rajpur Road, Dehradun - 248001",http://www.facebook.com/teamneosir,+917060847108,Not Verified
 Constancia School,"Constancia School, P. O. Majra, Saharanpur Road, Dehradun City, Dehradun - 248001, Near Isbt Saharanpur Road",None,1352642360,Not Verified
 Bala Hissar Academy,"5 Municipal  Road, Dehradun - 248001",http://balahissaracademy.com/,1352657200+919259056223,Not Verified
 Carman Residential  Day School,"Thakurpur Road, Dehradun City, Dehradun - 248001, 2 Km From Prem Nagar",http://www.carmanschool.net,+919152783937,Verified
 Ecole Globale International Girls School,"Village Horawalla, Dehradun City, Dehradun - 248001",http://www.ecoleglobale.com,+919152760014,Verified
 Explorers Play School And Day Care,"76/22, Lane 1, Saket, Rajpur Road, Dehradun City, Dehradun - 248001, Near Silver City Cinema",http://www.explorers-india.in,+919152493296,Verified
 Charmwood International School,"04 LAXMI ROAD, Ec Road DALANWALA, Dehradun City, Dehradun - 248001, Near BSNL OFFICE",http://www.charmwoodschool.com/,+919152540436,Verified
 DOON Cambridge School,"Race Course, Race Course Road  Near Police Line, Dehradun City, Dehradun - 248001, 2nd Branch Also In Haridwar E40/41 INDUSTRIAL AREA",http://www.dooncambridge.school,+919152684172,Verified
 KIDZEE RACE  COURSE,"290/219 Shri Guru Gobind Singh Chowk( Suri Chowk), Dehradun City, Dehradun - 248001",http://www.kidzee.com,+919152639679,Verified
 Kiddyland School,"Shakti Vihar, Adhoiwala, Sahastradhara Road, Dehradun City, Dehradun - 248001, Near Sahastradhara Crossing",None,+919152198941,Verified
 Subhash Chandra Bose Academy,"Vill & P.O Nathuwawala, raipur  gullarghati road, Nathuwala, Dehradun - 248008",http://www.subhashchandraboseacademy.edu.in,+919152595801,Verified
 Infinite Dimensions- The Ved School,"75/6, Rajpur Road, Dehradun - 248001, Behind Raj Plaza Complex",http://www.indimindia.com,+919152946512,Verified
 Shivalik Academy,"Rajawala Road, Selaqui, Dehradun - 248011",None,+919152909597,Verified
 The Pestle Weed School,"Oak Hill Estate, Mussoorie Diversion Road, Dehradun City, Dehradun - 248001, Main Mussoorie Road",http://www.thepestleweedschool.com,+919152733670,Verified
 Quantum University,"Transport Nagar, Dehradun City, Dehradun - 248001, Doon Business Park",None,+919152893086,Verified
 Tula's International School,"Dhulkot, Selaqui, Dehradun - 248011,",http://www.tulasinternational.edu.in,13526993331352699444,Not Verified
